organism,ID
Enterococcus avium,33945
Enterococcus faecalis,1351
Enterococcus faecium,1352
Enterococcus gallinarum,1353
Erysipelothrix rhusiopathiae,1648
Escherichia coli,562
Finegoldia magna,1260
Francisella tularensis,263
Fusobacterium necrophorum,859
Fusobacterium nucleatum,851
Gardnerella vaginalis,2702
Haemophilus aegyptius,197575
Haemophilus influenzae,727
Haemophilus parainfluenzae,729
Helicobacter pylori,210
Kingella denitrificans,502
Kingella kingae,504
Klebsiella aerogenes,548
Klebsiella granulomatis,39824
Klebsiella oxytoca,571
Klebsiella pneumoniae,573
Legionella bozemanae,447
Legionella micdadei,451
Legionella pneumophila,446
Leptospira alexanderi,100053
Leptospira alstonii,28452
Leptospira borgpetersenii,174
Leptospira interrogans,173
Leptospira kirschneri,29507
Leptospira kmetyi,408139
Leptospira mayottensis,1137606
Leptospira noguchii,28182
Leptospira santarosai,28183
Leptospira weilii,28184
Listeria monocytogenes,1639
Malacoplasma penetrans,28227
Metamycoplasma hominis,2098
Metamycoplasma salivarium,2124
Methylorubrum extorquens,408
Moraxella catarrhalis,480
Moraxella lacunata,477
Moraxella nonliquefaciens,478
Morganella morganii,582
Mycobacterium avium,1764
Mycobacterium intracellulare,1767
Mycobacterium kansasii,1768
Mycobacterium leprae,1769
Mycobacterium lepromatosis,480418
Mycobacterium malmoense,1780
Mycobacterium marinum,1781
Mycobacterium scrofulaceum,1783
Mycobacterium simiae,1784
Mycobacterium szulgai,1787
Mycobacterium tuberculosis,1773
Mycobacterium ulcerans,1809
Mycobacterium xenopi,1789
Mycobacteroides abscessus,36809
Mycobacteroides chelonae,1774
Mycolicibacter terrae,1788
Mycolicibacterium fortuitum,1766
Mycolicibacterium smegmatis,1772
Mycolicibacterium wolinskyi,59750
Mycoplasmoides genitalium,2097
Mycoplasmoides pneumoniae,2104
Mycoplasmopsis caviae,55603
Mycoplasmopsis fermentans,2115
Neisseria gonorrhoeae,485
Neisseria meningitidis,487
Neorickettsia sennetsu,951
Nocardia asteroides,1824
Nocardia brasiliensis,37326
Nocardia farcinica,37329
Nocardia nova,37330
Nocardia otitidiscaviarum,1823
Orientia tsutsugamushi,784
Paraclostridium bifermentans,1490
Parvimonas micra,33033
Pasteurella multocida,747
Peptoniphilus asaccharolyticus,1258
Peptostreptococcus anaerobius,1261
Photobacterium damselae,38293
Plesiomonas shigelloides,703
Porphyromonas gingivalis,837
Prescottella equi,43767
Prevotella bivia,28125
Prevotella intermedia,28131
Prevotella melaninogenica,28132
Proteus mirabilis,584
Proteus penneri,102862
Proteus vulgaris,585
Providencia alcalifaciens,126385
Providencia rettgeri,587
Pseudomonas aeruginosa,287
Pseudomonas fluorescens,294
Pseudomonas putida,303
Ralstonia pickettii,329
Rickettsia africae,35788
Rickettsia akari,786
Rickettsia australis,787
Rickettsia canadensis,788
Rickettsia conorii,781
Rickettsia felis,42862
Rickettsia helvetica,35789
Rickettsia honei,37816
Rickettsia japonica,35790
Rickettsia montanensis,33991
Rickettsia parkeri,35792
Rickettsia prowazekii,782
Rickettsia rickettsii,783
Rickettsia sibirica,35793
Rickettsia typhi,785
Rothia dentocariosa,2047
Salmonella bongori,54736
Salmonella enterica,28901
Serratia marcescens,615
Shewanella algae,38313
Shigella boydii,621
Shigella dysenteriae,622
Shigella flexneri,623
Shigella sonnei,624
Staphylococcus aureus,1280
Staphylococcus capitis,29388
Staphylococcus epidermidis,1282
Staphylococcus haemolyticus,1283
Staphylococcus lugdunensis,28035
Staphylococcus pseudintermedius,283734
Staphylococcus saccharolyticus,33028
Staphylococcus saprophyticus,29385
Stenotrophomonas maltophilia,40324
Streptobacillus moniliformis,34105
Streptococcus agalactiae,1311
Streptococcus anginosus,1328
Streptococcus criceti,1333
Streptococcus dysgalactiae,1334
Streptococcus equi,1336
Streptococcus equinus,1335
Streptococcus gordonii,1302
Streptococcus iniae,1346
Streptococcus mitis,28037
Streptococcus mutans,1309
Streptococcus oralis,1303
Streptococcus pneumoniae,1313
Streptococcus pyogenes,1314
Streptococcus sanguinis,1305
Streptococcus sobrinus,1310
Streptococcus suis,1307
Suttonella indologenes,13276
Tannerella forsythia,28112
Treponema denticola,158
Treponema pallidum,160
Treponema vincentii,69710
Tropheryma whipplei,2039
Trueperella pyogenes,1661
Ureaplasma parvum,134821
Ureaplasma urealyticum,2130
Vibrio alginolyticus,663
Vibrio cholerae,666
Vibrio parahaemolyticus,670
Vibrio vulnificus,672
Yersinia enterocolitica,630
Yersinia pestis,632
Yersinia pseudotuberculosis,633
[Haemophilus] ducreyi,730
